species,rule,country_code,admin1_region_code
mammalia;chordata;canidae;canis;lupus dingo,block,TCD,
mammalia;chordata;canidae;canis;lupus dingo,block,TGO,
mammalia;chordata;canidae;canis;lupus dingo,block,TJK,
mammalia;chordata;canidae;canis;lupus dingo,block,TKL,
mammalia;chordata;canidae;canis;lupus dingo,block,TKM,
mammalia;chordata;canidae;canis;lupus dingo,block,TLS,
mammalia;chordata;canidae;canis;lupus dingo,block,TON,
mammalia;chordata;canidae;canis;lupus dingo,block,TTO,
mammalia;chordata;canidae;canis;lupus dingo,block,TUN,
mammalia;chordata;canidae;canis;lupus dingo,block,TUR,
mammalia;chordata;canidae;canis;lupus dingo,block,TUV,
mammalia;chordata;canidae;canis;lupus dingo,block,TWN,
mammalia;chordata;canidae;canis;lupus dingo,block,TZA,
mammalia;chordata;canidae;canis;lupus dingo,block,UGA,
mammalia;chordata;canidae;canis;lupus dingo,block,UKR,
mammalia;chordata;canidae;canis;lupus dingo,block,UMI,
mammalia;chordata;canidae;canis;lupus dingo,block,URY,
mammalia;chordata;canidae;canis;lupus dingo,block,USA,
mammalia;chordata;canidae;canis;lupus dingo,block,UZB,
mammalia;chordata;canidae;canis;lupus dingo,block,VAT,
mammalia;chordata;canidae;canis;lupus dingo,block,VCT,
mammalia;chordata;canidae;canis;lupus dingo,block,VEN,
mammalia;chordata;canidae;canis;lupus dingo,block,VGB,
mammalia;chordata;canidae;canis;lupus dingo,block,VIR,
mammalia;chordata;canidae;canis;lupus dingo,block,VNM,
mammalia;chordata;canidae;canis;lupus dingo,block,VUT,
mammalia;chordata;canidae;canis;lupus dingo,block,WLF,
mammalia;chordata;canidae;canis;lupus dingo,block,WSM,
mammalia;chordata;canidae;canis;lupus dingo,block,YEM,
mammalia;chordata;canidae;canis;lupus dingo,block,ZAF,
mammalia;chordata;canidae;canis;lupus dingo,block,ZMB,
mammalia;chordata;canidae;canis;lupus dingo,block,ZWE,
mammalia;cetartiodactyla;cervidae;capreolus;,block,USA,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;amphibius,allow,COL,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,ABW,
mammalia;cetartiodactyla;hippopotamidae;hippopotamus;,block,AFG,
